temp,finalChi,err
0.5,78.0345,0.646108
0.6,44.2301,0.469096
0.7,24.3719,0.259675
0.8,15.0674,0.133597
0.9,10.2238,0.0768208
1,7.35236,0.0449459
1.1,5.60266,0.0299443
1.2,4.4076,0.02046
1.3,3.58368,0.0151645
1.4,2.97476,0.0116261
1.5,2.52176,0.00910511
1.6,2.18446,0.00730987
1.7,1.9055,0.00603311
1.8,1.68664,0.00508791
1.9,1.51003,0.00438298
2,1.3627,0.00381235
