temp,finalHeat,err
0.5,0.258552,0.00437992
0.6,0.372168,0.00308514
0.7,0.406497,0.00249386
0.8,0.42612,0.00183529
0.9,0.428847,0.00135926
1,0.414692,0.00112148
1.1,0.393055,0.000927218
1.2,0.368982,0.000784294
1.3,0.34205,0.000673437
1.4,0.31627,0.000569756
1.5,0.292459,0.000503285
1.6,0.269408,0.000452005
1.7,0.248886,0.00041413
1.8,0.229331,0.000378037
1.9,0.211849,0.000338395
2,0.196165,0.000314107
