mu,sigma,I,errs
-0.614884,0.72349,-0.354993,0.00295231
-0.614884,0.72349,-0.354993,0.00295231
-0.592277,0.724234,-0.315647,0.00407799
-0.592277,0.724234,-0.315647,0.00407799
-0.58412,0.712101,-0.315829,0.00410578
-0.565634,0.688903,-0.3,0.00361579
-0.565634,0.688903,-0.3,0.00361579
-0.584827,0.670608,-0.295171,0.00381504
-0.573989,0.646679,-0.2988,0.00342844
-0.57028,0.625201,-0.303463,0.00351597
-0.564477,0.634775,-0.271486,0.00345267
-0.582905,0.656337,-0.306746,0.00347934
-0.57472,0.680947,-0.30419,0.00367018
-0.57472,0.680947,-0.30419,0.00367018
-0.557265,0.667855,-0.287622,0.00358407
-0.58193,0.665095,-0.297001,0.00339334
-0.588782,0.651003,-0.308762,0.00318709
-0.571419,0.669562,-0.304741,0.00362057
-0.563377,0.645936,-0.283633,0.00390611
-0.577835,0.624163,-0.277705,0.00358018
-0.589616,0.640083,-0.315562,0.00357383
-0.589616,0.640083,-0.315562,0.00357383
-0.574307,0.626214,-0.270785,0.00415927
-0.568129,0.640783,-0.292601,0.00391161
-0.564928,0.651121,-0.289291,0.00363975
-0.578083,0.674392,-0.304752,0.00351041
-0.578083,0.674392,-0.304752,0.00351041
-0.578083,0.674392,-0.304752,0.00351041
-0.59576,0.676816,-0.307006,0.0037639
-0.59778,0.668024,-0.30433,0.00355135
-0.591018,0.690508,-0.336,0.00368723
-0.589343,0.678319,-0.295213,0.00344858
-0.609286,0.692279,-0.342671,0.00378466
-0.616585,0.681224,-0.329059,0.00327431
-0.622896,0.682858,-0.342672,0.00272806
-0.634663,0.702568,-0.346334,0.00310276
-0.624041,0.723979,-0.336769,0.00362848
-0.60618,0.708888,-0.301893,0.00361591
-0.603704,0.700148,-0.316058,0.00401418
-0.623095,0.71902,-0.325763,0.00430621
-0.610906,0.732675,-0.324493,0.00362986
-0.615791,0.711196,-0.321419,0.00321542
-0.611232,0.706542,-0.321957,0.00354919
-0.592558,0.685151,-0.321102,0.00374797
-0.568704,0.670424,-0.280099,0.00397414
-0.582992,0.6703,-0.327388,0.00407854
-0.604872,0.691803,-0.326667,0.00350878
-0.604197,0.66967,-0.312225,0.00370687
-0.604197,0.66967,-0.312225,0.00370687
-0.597107,0.690429,-0.32366,0.00347522
-0.591222,0.692642,-0.315341,0.00346983
-0.570555,0.66852,-0.287676,0.00408066
-0.58114,0.657542,-0.319427,0.00353468
-0.562085,0.681284,-0.284095,0.00393258
-0.544109,0.665955,-0.238547,0.00324657
-0.560071,0.657243,-0.289307,0.00390061
-0.535531,0.673303,-0.248963,0.00416891
-0.551705,0.69138,-0.280936,0.00391738
-0.549548,0.678716,-0.255742,0.00379796
-0.547052,0.690006,-0.264275,0.00395284
-0.550198,0.708394,-0.268267,0.00388897
-0.550327,0.706217,-0.268031,0.00429442
-0.544929,0.703883,-0.281939,0.00390182
-0.544929,0.703883,-0.281939,0.00390182
-0.544929,0.703883,-0.281939,0.00390182
-0.520724,0.712317,-0.252439,0.0039124
-0.520724,0.712317,-0.252439,0.0039124
-0.516825,0.706466,-0.249333,0.00367198
-0.522327,0.723572,-0.28494,0.00436515
-0.522327,0.723572,-0.28494,0.00436515
-0.521675,0.708802,-0.241879,0.00438501
-0.502607,0.731538,-0.210063,0.00457863
-0.527522,0.713127,-0.285659,0.00446703
-0.527522,0.713127,-0.285659,0.00446703
-0.527522,0.713127,-0.285659,0.00446703
-0.531172,0.695895,-0.237235,0.0039885
-0.513022,0.701712,-0.224286,0.00369017
-0.497459,0.698715,-0.224207,0.00405919
-0.519489,0.682867,-0.227364,0.00438302
-0.524444,0.679353,-0.234954,0.00441862
-0.511308,0.659798,-0.208203,0.00462889
-0.503544,0.674289,-0.218602,0.00480122
-0.499318,0.651103,-0.211348,0.00480278
-0.50673,0.674833,-0.233771,0.00466385
-0.518909,0.650647,-0.238075,0.00434784
-0.504482,0.638009,-0.194318,0.00474198
-0.488872,0.649144,-0.15881,0.00414944
-0.494,0.647054,-0.194338,0.00460279
-0.494,0.647054,-0.194338,0.00460279
-0.481067,0.66721,-0.170202,0.00487266
-0.488615,0.678047,-0.179028,0.0047405
-0.487899,0.671812,-0.195232,0.00433657
-0.508943,0.68028,-0.227537,0.00440406
-0.517277,0.697994,-0.22917,0.00442254
-0.521908,0.675346,-0.262435,0.00427274
-0.539356,0.651548,-0.262953,0.00412505
-0.550988,0.668623,-0.263295,0.00372243
-0.53648,0.685977,-0.239281,0.00353887
-0.51337,0.693953,-0.236389,0.00357628
-0.537725,0.688774,-0.289951,0.00492806
-0.537725,0.688774,-0.289951,0.00492806
-0.562405,0.680221,-0.287495,0.00427262
-0.541247,0.696093,-0.281428,0.00373493
-0.541247,0.696093,-0.281428,0.00373493
-0.562914,0.705853,-0.301494,0.00382923
-0.579678,0.723787,-0.284506,0.00368758
-0.562132,0.700206,-0.289019,0.00377897
-0.552135,0.716472,-0.275176,0.00357394
-0.565582,0.724835,-0.283559,0.00386172
-0.556162,0.706243,-0.256695,0.00369671
-0.546035,0.699318,-0.286856,0.00433433
-0.565634,0.702878,-0.277236,0.00362116
-0.565634,0.702878,-0.277236,0.00362116
-0.586818,0.725652,-0.30148,0.00392248
-0.58444,0.728901,-0.30405,0.00379372
-0.566566,0.736115,-0.307254,0.00418015
-0.549689,0.713268,-0.284296,0.00425438
-0.553841,0.727727,-0.294694,0.00404237
-0.559539,0.729799,-0.288916,0.0035948
-0.534584,0.754268,-0.263847,0.00397238
-0.559116,0.732778,-0.309731,0.00365893
-0.559116,0.732778,-0.309731,0.00365893
-0.559116,0.732778,-0.309731,0.00365893
-0.561187,0.729301,-0.298771,0.0037131
-0.548876,0.74617,-0.26377,0.00376649
-0.544965,0.721791,-0.271659,0.00387333
-0.549191,0.706623,-0.286903,0.00352326
-0.550961,0.699287,-0.276655,0.00389412
-0.552026,0.684621,-0.283707,0.00371738
-0.552026,0.684621,-0.283707,0.00371738
-0.55712,0.663951,-0.282777,0.0041643
-0.539919,0.672295,-0.225923,0.00421612
-0.552156,0.657799,-0.258298,0.00410664
-0.527974,0.67443,-0.257997,0.004801
-0.527974,0.67443,-0.257997,0.004801
-0.52768,0.685016,-0.271095,0.00440206
-0.539994,0.69798,-0.267708,0.00366801
-0.545942,0.700178,-0.294989,0.00408457
-0.563083,0.712823,-0.28666,0.00400509
-0.579049,0.709744,-0.279422,0.00363214
-0.571661,0.689365,-0.279667,0.00384047
-0.574234,0.713598,-0.27382,0.00372031
-0.582286,0.712402,-0.302197,0.00344513
-0.567847,0.688294,-0.293427,0.00386222
-0.568928,0.675704,-0.279407,0.00408485
-0.567302,0.681302,-0.253101,0.00383417
-0.565249,0.695066,-0.296756,0.00360283
-0.588146,0.71094,-0.311236,0.00362428
-0.580448,0.733637,-0.311178,0.00431786
-0.579997,0.748146,-0.277552,0.00397955
-0.581701,0.72355,-0.304701,0.00345707
-0.600385,0.738311,-0.309162,0.00394317
-0.576584,0.757557,-0.317219,0.00387418
-0.574707,0.773392,-0.289091,0.00478608
-0.590762,0.780741,-0.31722,0.00492574
-0.572569,0.775056,-0.286504,0.00413597
-0.550114,0.780931,-0.283737,0.00412387
-0.531442,0.802184,-0.287809,0.00460447
-0.52789,0.817303,-0.298352,0.00401144
-0.52789,0.817303,-0.298352,0.00401144
-0.52789,0.817303,-0.298352,0.00401144
-0.537031,0.806253,-0.280353,0.00342345
-0.552145,0.786045,-0.274706,0.00561776
-0.533282,0.800954,-0.267069,0.00462178
-0.539256,0.791066,-0.283469,0.00466007
-0.559185,0.7797,-0.298797,0.00371725
-0.569357,0.775696,-0.29192,0.00445604
-0.559364,0.774991,-0.281521,0.00607148
-0.563954,0.755437,-0.287879,0.00380512
-0.579921,0.76902,-0.313784,0.00446417
-0.58576,0.771193,-0.33363,0.00462328
-0.590296,0.748566,-0.305272,0.00423222
-0.597547,0.723603,-0.312487,0.00372157
-0.580728,0.734951,-0.309819,0.00357179
-0.574794,0.734974,-0.319185,0.00397124
-0.581596,0.710653,-0.316887,0.0039599
-0.603868,0.70979,-0.312939,0.00482827
-0.600462,0.696073,-0.340134,0.00342006
-0.577146,0.718559,-0.317796,0.00394401
-0.593913,0.703443,-0.322309,0.00444672
-0.575661,0.686592,-0.286116,0.00359911
-0.566139,0.675551,-0.281701,0.00406358
-0.553731,0.657275,-0.264803,0.00431061
-0.553621,0.632768,-0.242995,0.00439081
-0.546603,0.61554,-0.228735,0.00355135
-0.538865,0.598761,-0.234533,0.00434726
-0.528377,0.591597,-0.212103,0.00392614
-0.540119,0.602142,-0.235146,0.00422196
-0.51533,0.600222,-0.183753,0.00420982
-0.510934,0.57553,-0.159694,0.00426417
-0.527907,0.594105,-0.201403,0.00379147
-0.548826,0.605814,-0.261689,0.00435789
-0.548826,0.605814,-0.261689,0.00435789
-0.569839,0.606083,-0.266849,0.00384681
-0.563505,0.600602,-0.244655,0.00414444
-0.567364,0.586846,-0.257803,0.00406058
-0.571089,0.569535,-0.244512,0.00357881
-0.595004,0.578196,-0.292041,0.00345183
-0.615119,0.5911,-0.318686,0.0033147
-0.615119,0.5911,-0.318686,0.0033147
-0.629884,0.576474,-0.325774,0.00323949
-0.608497,0.572432,-0.310124,0.00322224
-0.626761,0.565331,-0.307423,0.00308272
-0.61879,0.572539,-0.307675,0.00291272
-0.622691,0.559151,-0.303355,0.00348656
-0.634712,0.562794,-0.3384,0.0038335
-0.634306,0.545256,-0.324748,0.00367914
-0.626332,0.548946,-0.294909,0.00311513
-0.621522,0.548445,-0.288728,0.00337951
-0.621522,0.548445,-0.288728,0.00337951
-0.609955,0.543373,-0.273192,0.00370389
-0.611923,0.555331,-0.294849,0.00335972
-0.630257,0.53902,-0.313111,0.00376023
-0.652267,0.561105,-0.348976,0.00266804
-0.635567,0.577238,-0.331203,0.00299051
-0.638785,0.5693,-0.342268,0.00339682
-0.661672,0.562123,-0.343804,0.00325417
-0.671268,0.556811,-0.367026,0.00297427
-0.677623,0.551785,-0.367473,0.00302235
-0.694433,0.531369,-0.357331,0.00292694
-0.690196,0.538664,-0.363852,0.00316763
-0.690196,0.538664,-0.363852,0.00316763
-0.699977,0.521223,-0.336913,0.00349794
-0.699977,0.521223,-0.336913,0.00349794
-0.710491,0.526851,-0.361448,0.00287425
-0.717823,0.534901,-0.369155,0.00273813
-0.717823,0.534901,-0.369155,0.00273813
-0.706359,0.518869,-0.327081,0.00346637
-0.695564,0.494999,-0.277549,0.00439696
-0.709071,0.502497,-0.278893,0.00362764
-0.711156,0.515006,-0.331143,0.00353887
-0.7313,0.529262,-0.360795,0.00314528
-0.70859,0.543491,-0.36538,0.00271168
-0.710252,0.532139,-0.368988,0.0030817
-0.707769,0.547746,-0.372798,0.0025555
-0.691193,0.555727,-0.381976,0.00277974
-0.714704,0.580119,-0.408464,0.00217852
-0.729267,0.593455,-0.422505,0.00203317
-0.729325,0.574279,-0.408814,0.00201824
-0.729325,0.574279,-0.408814,0.00201824
-0.746284,0.556509,-0.41044,0.00213524
-0.750523,0.546695,-0.387449,0.00285551
-0.765002,0.530983,-0.388935,0.00328007
-0.768445,0.530633,-0.376316,0.00284814
-0.74478,0.5492,-0.398201,0.00260374
-0.74844,0.549571,-0.396112,0.002666
-0.735013,0.540187,-0.380332,0.00263337
-0.726979,0.541182,-0.383806,0.0027047
-0.745015,0.559168,-0.402125,0.00222893
-0.766562,0.565604,-0.41877,0.00197294
-0.778741,0.570259,-0.428358,0.00206859
-0.771197,0.567242,-0.437834,0.00214702
-0.794662,0.575368,-0.429799,0.00194472
-0.801655,0.585168,-0.439054,0.00150029
-0.819745,0.596317,-0.440237,0.00164204
-0.799995,0.586377,-0.442638,0.0014541
-0.799995,0.586377,-0.442638,0.0014541
-0.809888,0.5773,-0.43601,0.00179168
-0.801775,0.56347,-0.430213,0.00207144
-0.782849,0.571809,-0.427471,0.00173759
-0.773603,0.591321,-0.44236,0.0013936
-0.78749,0.589211,-0.437493,0.00159962
-0.79168,0.580603,-0.443112,0.00155147
-0.794034,0.578768,-0.435146,0.00159407
-0.773099,0.594887,-0.438642,0.00149455
-0.773099,0.594887,-0.438642,0.00149455
-0.752864,0.569956,-0.417028,0.00190149
-0.750033,0.581068,-0.427021,0.00190066
-0.730614,0.592702,-0.411769,0.00179971
-0.726824,0.589,-0.416967,0.00171581
-0.751241,0.602776,-0.427928,0.00184417
-0.742704,0.621277,-0.419615,0.00164073
-0.74891,0.601737,-0.431701,0.00159264
-0.772764,0.577376,-0.432995,0.00173453
-0.796548,0.561924,-0.433719,0.00227753
-0.816876,0.584969,-0.439133,0.00175893
-0.817709,0.601842,-0.444867,0.0015973
-0.832763,0.612237,-0.434043,0.00198312
-0.856522,0.629226,-0.43994,0.0025307
-0.880934,0.648228,-0.40491,0.00448187
-0.893414,0.635457,-0.4331,0.00293318
-0.906756,0.627343,-0.3964,0.00384376
-0.892181,0.611246,-0.434822,0.00245577
-0.880094,0.618823,-0.435441,0.00221729
-0.880094,0.618823,-0.435441,0.00221729
-0.87277,0.593983,-0.436183,0.00223903
-0.863281,0.596871,-0.442931,0.00202406
-0.867053,0.611045,-0.440306,0.00189086
-0.872085,0.593292,-0.426946,0.0025833
-0.855529,0.614234,-0.440098,0.00212399
-0.851408,0.596046,-0.444941,0.0017641
-0.869324,0.593431,-0.43819,0.00202017
-0.860749,0.614133,-0.445271,0.00272127
-0.843655,0.59458,-0.443655,0.00261327
-0.835705,0.595326,-0.442701,0.0020799
-0.820224,0.583265,-0.432228,0.00176841
-0.838531,0.605277,-0.45002,0.00154724
-0.817894,0.626993,-0.444575,0.0021691
-0.803315,0.647412,-0.426997,0.00260877
-0.80275,0.656098,-0.437643,0.0024185
-0.788401,0.649736,-0.430261,0.00272454
-0.769873,0.660132,-0.42003,0.00347416
-0.745065,0.652105,-0.426704,0.0019723
-0.769573,0.648515,-0.432523,0.00236667
-0.761086,0.644131,-0.442479,0.00137085
-0.77752,0.661133,-0.423926,0.00245638
-0.770486,0.6615,-0.428676,0.00207282
-0.785871,0.684345,-0.407402,0.00414082
-0.785871,0.684345,-0.407402,0.00414082
-0.765046,0.699587,-0.412096,0.00293971
-0.743372,0.699948,-0.410937,0.00310975
-0.721633,0.678646,-0.396054,0.00288514
-0.721261,0.678988,-0.409092,0.0026919
-0.712354,0.674468,-0.401447,0.00200061
-0.732898,0.656628,-0.426586,0.00172551
-0.736836,0.638099,-0.427977,0.00154146
-0.73089,0.613282,-0.429403,0.00177537
-0.73089,0.613282,-0.429403,0.00177537
-0.733339,0.589874,-0.432675,0.00236557
-0.755424,0.608784,-0.438513,0.0015514
-0.734843,0.61701,-0.434597,0.00192495
-0.751379,0.638402,-0.429373,0.00168206
-0.765889,0.644846,-0.438329,0.00204252
-0.751096,0.621284,-0.427657,0.00148931
-0.746027,0.616415,-0.42855,0.00172303
-0.732884,0.619466,-0.429252,0.00194378
-0.730339,0.620855,-0.420072,0.00199099
-0.725416,0.603819,-0.418071,0.00199867
-0.713449,0.587715,-0.409959,0.00222053
-0.722887,0.600677,-0.416415,0.00185099
-0.722887,0.600677,-0.416415,0.00185099
-0.700715,0.61782,-0.421135,0.00252417
-0.711876,0.628074,-0.407791,0.00184923
-0.720072,0.617922,-0.412519,0.00185976
-0.708804,0.617057,-0.415061,0.00186888
-0.724112,0.617188,-0.416157,0.00247646
-0.736109,0.600938,-0.417625,0.00191346
-0.750134,0.604853,-0.444841,0.00169158
-0.735398,0.588628,-0.439481,0.00222368
-0.741782,0.612462,-0.420801,0.00171548
-0.721974,0.609593,-0.421628,0.00194446
-0.725164,0.619012,-0.418122,0.00177335
-0.722291,0.612184,-0.419244,0.00174702
-0.705572,0.633128,-0.414508,0.00206009
-0.714857,0.616439,-0.409788,0.0020209
-0.72757,0.612679,-0.422159,0.00173031
-0.735213,0.619541,-0.425676,0.00144279
-0.740206,0.597467,-0.430677,0.00172161
-0.746979,0.609654,-0.43426,0.00180239
-0.746979,0.609654,-0.43426,0.00180239
-0.739709,0.60485,-0.432233,0.00181599
-0.755461,0.615468,-0.43612,0.00169952
-0.771634,0.608567,-0.438509,0.00162038
-0.760334,0.605417,-0.442047,0.00163023
-0.738101,0.580912,-0.428146,0.00181148
-0.742999,0.588959,-0.424936,0.00169438
-0.740464,0.579699,-0.428877,0.00166788
-0.759309,0.603491,-0.436896,0.00146071
-0.779035,0.607795,-0.43971,0.00153379
-0.791097,0.587962,-0.440345,0.00173748
-0.791097,0.587962,-0.440345,0.00173748
-0.766183,0.593841,-0.441378,0.00170607
-0.783403,0.608345,-0.442768,0.00141115
-0.78795,0.6122,-0.453107,0.0012666
-0.788606,0.594261,-0.453059,0.00156332
-0.7655,0.579853,-0.436557,0.00173091
-0.751213,0.576022,-0.425801,0.0018528
-0.743535,0.592114,-0.420957,0.00209061
-0.723515,0.591399,-0.413428,0.00213426
-0.72101,0.581476,-0.400854,0.00203793
-0.72101,0.581476,-0.400854,0.00203793
-0.730454,0.560222,-0.402927,0.00244536
-0.712464,0.580003,-0.403365,0.00224475
-0.699308,0.582305,-0.394663,0.00253983
-0.723699,0.592062,-0.414617,0.0019027
-0.735858,0.585899,-0.415438,0.00187032
-0.720148,0.574504,-0.40288,0.00243338
-0.7128,0.555608,-0.385808,0.00265181
-0.721417,0.553924,-0.394299,0.00247108
-0.717307,0.551057,-0.404053,0.00298745
-0.739545,0.543272,-0.382211,0.00255771
-0.739545,0.543272,-0.382211,0.00255771
-0.75501,0.530929,-0.369591,0.00306201
-0.757179,0.531081,-0.386547,0.00327228
-0.767831,0.523481,-0.365705,0.00374343
-0.781797,0.509013,-0.335204,0.00367596
-0.766218,0.531675,-0.394967,0.00310683
-0.764032,0.523963,-0.376311,0.00336296
-0.779398,0.513067,-0.349275,0.00384706
-0.779398,0.513067,-0.349275,0.00384706
-0.759234,0.50981,-0.331594,0.00319533
-0.761029,0.50488,-0.305672,0.00368702
-0.749182,0.517962,-0.352034,0.00344569
-0.766103,0.498862,-0.310538,0.00399595
-0.766103,0.498862,-0.310538,0.00399595
-0.766103,0.498862,-0.310538,0.00399595
-0.787469,0.50908,-0.321596,0.00361516
-0.792606,0.530757,-0.386901,0.00304074
-0.804471,0.529099,-0.38733,0.0032686
-0.811549,0.544484,-0.397442,0.00223049
-0.817337,0.540669,-0.394728,0.00266967
-0.819294,0.541127,-0.390779,0.00263108
-0.83124,0.527166,-0.379876,0.00350813
-0.815562,0.514685,-0.33647,0.0036799
-0.815562,0.514685,-0.33647,0.0036799
-0.815562,0.514685,-0.33647,0.0036799
-0.829014,0.516154,-0.360734,0.00375461
-0.808563,0.5245,-0.3653,0.00336172
-0.81534,0.514888,-0.35528,0.00411771
-0.81534,0.514888,-0.35528,0.00411771
-0.795107,0.523758,-0.366684,0.00361792
-0.807982,0.543629,-0.404165,0.00228885
-0.801782,0.534642,-0.402216,0.00289653
-0.808415,0.539246,-0.402071,0.00301495
-0.815568,0.558132,-0.41964,0.00255799
-0.835043,0.544863,-0.403068,0.00290337
-0.83007,0.537563,-0.393485,0.00288988
-0.83007,0.537563,-0.393485,0.00288988
-0.814779,0.522417,-0.368468,0.0030517
-0.838452,0.539879,-0.402522,0.00289507
-0.838452,0.539879,-0.402522,0.00289507
-0.820061,0.535136,-0.396007,0.00351408
-0.797315,0.538994,-0.392598,0.00286083
-0.788105,0.553492,-0.411777,0.00254776
-0.812541,0.574266,-0.433616,0.00175214
-0.83705,0.557066,-0.428343,0.00229126
-0.846103,0.555515,-0.423555,0.00258388
-0.846103,0.555515,-0.423555,0.00258388
-0.856236,0.545503,-0.39901,0.00295616
-0.843268,0.563167,-0.42652,0.0022911
-0.843268,0.563167,-0.42652,0.0022911
-0.840467,0.579109,-0.444741,0.00199386
-0.825109,0.565652,-0.427959,0.00212914
-0.808633,0.551441,-0.401032,0.00228532
-0.801005,0.562618,-0.427877,0.00222408
-0.782661,0.55455,-0.432019,0.00238986
-0.782661,0.55455,-0.432019,0.00238986
-0.801083,0.550789,-0.415264,0.00227955
-0.801083,0.550789,-0.415264,0.00227955
-0.800404,0.551368,-0.42155,0.00245321
-0.824441,0.576016,-0.440761,0.00183693
-0.837653,0.574824,-0.421236,0.00215726
-0.828553,0.561203,-0.41644,0.00222686
-0.807733,0.546275,-0.396188,0.00273056
-0.819508,0.570964,-0.436366,0.00186632
-0.811336,0.587964,-0.444749,0.00147377
-0.830348,0.595712,-0.446547,0.00184005
-0.81152,0.606639,-0.455146,0.00128603
-0.824002,0.611787,-0.442257,0.00226885
-0.841722,0.60523,-0.439925,0.00241327
-0.83871,0.584149,-0.440005,0.0018163
-0.836765,0.595334,-0.443232,0.00162926
-0.836765,0.595334,-0.443232,0.00162926
-0.83076,0.574115,-0.430699,0.00192209
-0.830276,0.560018,-0.42457,0.00218075
-0.851139,0.540933,-0.412862,0.00270285
-0.843347,0.523938,-0.357745,0.0038124
-0.837772,0.511135,-0.31453,0.00376646
-0.813145,0.492294,-0.286756,0.00461907
-0.813145,0.492294,-0.286756,0.00461907
-0.813145,0.492294,-0.286756,0.00461907
-0.813145,0.492294,-0.286756,0.00461907
-0.813145,0.492294,-0.286756,0.00461907
-0.808262,0.481146,-0.237136,0.00478924
-0.803936,0.487742,-0.244194,0.00452264
-0.801314,0.512045,-0.32874,0.00369618
-0.810133,0.51947,-0.344051,0.00334516
-0.802302,0.515121,-0.348606,0.00389804
-0.780201,0.537574,-0.401906,0.00271112
-0.780658,0.528098,-0.3828,0.00333143
-0.780988,0.503421,-0.336018,0.00421288
-0.781018,0.504116,-0.316976,0.00434081
-0.805003,0.528379,-0.386222,0.00315328
-0.796676,0.52017,-0.366028,0.00325533
-0.787591,0.532146,-0.371756,0.00303006
-0.762611,0.5374,-0.379268,0.00253828
-0.783273,0.527396,-0.38336,0.00287562
-0.773045,0.544987,-0.399057,0.0027679
-0.787589,0.538083,-0.39855,0.00268013
-0.789037,0.514882,-0.345112,0.00351007
-0.767565,0.50634,-0.326329,0.00410301
-0.764466,0.496331,-0.29314,0.0039317
-0.772851,0.5165,-0.343319,0.00366543
-0.759178,0.508367,-0.345475,0.00365478
-0.759178,0.508367,-0.345475,0.00365478
-0.759178,0.508367,-0.345475,0.00365478
-0.743731,0.52933,-0.385297,0.0034061
-0.731166,0.537736,-0.379965,0.00271152
-0.731166,0.537736,-0.379965,0.00271152
-0.718304,0.539542,-0.382021,0.00292988
-0.737561,0.548575,-0.384527,0.00276231
-0.738252,0.532958,-0.366113,0.00302585
-0.754646,0.515712,-0.343499,0.00322655
-0.767919,0.507387,-0.317169,0.00355321
-0.748368,0.52699,-0.362813,0.00318729
-0.730864,0.535801,-0.375641,0.00285412
-0.743901,0.525957,-0.365403,0.00318329
-0.731092,0.546716,-0.386533,0.00245158
-0.737641,0.548632,-0.395076,0.00275575
-0.735447,0.558277,-0.416911,0.00216141
-0.737311,0.566787,-0.402542,0.00241918
-0.737512,0.55325,-0.410111,0.00241702
-0.731683,0.572233,-0.425986,0.00217048
-0.730244,0.580689,-0.421152,0.00216335
-0.740498,0.579658,-0.422232,0.00200302
-0.720904,0.583842,-0.407662,0.00195871
-0.740776,0.575973,-0.421368,0.00223162
-0.762815,0.595837,-0.434648,0.00132082
-0.767547,0.589123,-0.43321,0.00146205
-0.78566,0.581566,-0.436842,0.0016005
-0.768003,0.57942,-0.425816,0.0020658
-0.759196,0.572591,-0.417711,0.00191506
-0.73862,0.594883,-0.42978,0.00193563
-0.760503,0.609808,-0.438929,0.00166793
-0.769924,0.592516,-0.438138,0.00172088
-0.794439,0.613104,-0.443443,0.00139598
-0.80866,0.592995,-0.451147,0.00140114
-0.798316,0.607555,-0.434537,0.00152449
-0.784041,0.630789,-0.444731,0.00193075
-0.795088,0.611093,-0.440326,0.00137989
-0.802003,0.623321,-0.449772,0.00151994
-0.784739,0.625797,-0.438319,0.00174143
-0.793027,0.649199,-0.436659,0.0021488
-0.798368,0.639349,-0.438299,0.00179938
-0.774434,0.659239,-0.424665,0.00217682
-0.759317,0.671469,-0.42076,0.00236536
-0.769794,0.69519,-0.415632,0.00396982
-0.760151,0.693908,-0.418627,0.00281701
-0.739287,0.693381,-0.396955,0.00326027
-0.725137,0.696091,-0.390477,0.00246747
-0.705037,0.688126,-0.376719,0.00324827
-0.729893,0.711134,-0.380516,0.00622648
-0.729893,0.711134,-0.380516,0.00622648
-0.751463,0.728503,-0.376652,0.00414332
-0.760912,0.713381,-0.396565,0.00336033
-0.74292,0.688805,-0.393899,0.00384672
-0.74292,0.688805,-0.393899,0.00384672
-0.724549,0.693056,-0.411411,0.00256427
-0.742095,0.698067,-0.39769,0.00266812
-0.724318,0.684571,-0.404336,0.00247734
-0.716275,0.702701,-0.383784,0.0031856
-0.726087,0.714744,-0.399684,0.00251285
-0.740214,0.705892,-0.406094,0.00354781
-0.764947,0.68994,-0.387978,0.00481671
-0.77266,0.708024,-0.407071,0.00333141
-0.775935,0.69696,-0.398455,0.00391586
-0.788557,0.698512,-0.406969,0.00363088
-0.805704,0.70186,-0.376611,0.00606891
-0.790034,0.720692,-0.404449,0.00348131
-0.77973,0.701363,-0.410611,0.00320537
-0.769344,0.698227,-0.408752,0.00330413
-0.761417,0.676675,-0.409883,0.00349821
-0.769566,0.690877,-0.401972,0.00317378
-0.755025,0.694843,-0.400759,0.00456889
-0.752126,0.672558,-0.415674,0.00272875
-0.728328,0.683065,-0.411896,0.00228963
-0.711857,0.662731,-0.414646,0.00230612
-0.731025,0.64739,-0.41819,0.00172027
-0.74723,0.636293,-0.43357,0.00175674
-0.742138,0.654709,-0.410849,0.00269398
-0.7321,0.668215,-0.411179,0.00224392
-0.709626,0.682272,-0.40342,0.00245502
-0.723771,0.681961,-0.411705,0.00230944
-0.722764,0.681121,-0.418157,0.00216957
-0.708483,0.695164,-0.370763,0.00792143
-0.689092,0.676042,-0.397023,0.00289605
-0.689092,0.676042,-0.397023,0.00289605
-0.686819,0.66983,-0.384239,0.00235652
-0.669402,0.661058,-0.378226,0.00278255
-0.652325,0.674297,-0.376186,0.00259275
-0.630792,0.675432,-0.350615,0.00379963
-0.65204,0.685473,-0.353809,0.00352855
-0.628358,0.667093,-0.33747,0.00309066
-0.617582,0.686617,-0.330003,0.00326971
-0.615593,0.685099,-0.312431,0.00340405
-0.592851,0.70327,-0.321368,0.00447464
-0.577705,0.725545,-0.287694,0.00357554
-0.58783,0.723478,-0.307327,0.00371946
-0.592954,0.740021,-0.317725,0.00336434
-0.604971,0.733753,-0.338706,0.00339439
-0.604971,0.733753,-0.338706,0.00339439
-0.608973,0.745484,-0.329148,0.00440096
-0.595506,0.720803,-0.332872,0.00361987
-0.594149,0.714895,-0.320391,0.00354365
-0.579716,0.732717,-0.300917,0.00397879
-0.556798,0.748235,-0.292033,0.00478349
-0.568704,0.769819,-0.294151,0.00470287
-0.578954,0.766149,-0.284447,0.00592262
-0.559209,0.775351,-0.287932,0.00412063
-0.571988,0.778029,-0.291273,0.00531398
-0.574188,0.795782,-0.298879,0.00566448
-0.583259,0.793343,-0.319978,0.0045777
-0.583259,0.793343,-0.319978,0.0045777
-0.60432,0.799201,-0.298572,0.00341803
-0.590649,0.79157,-0.305446,0.00672595
-0.592945,0.78902,-0.311744,0.00364822
-0.596213,0.770676,-0.293582,0.00450947
-0.583153,0.79267,-0.317062,0.00452212
-0.581279,0.814717,-0.311324,0.00414816
-0.581279,0.814717,-0.311324,0.00414816
-0.606013,0.825982,-0.268647,0.00780109
-0.584782,0.823039,-0.293166,0.00768349
-0.588223,0.831368,-0.300587,0.00393258
-0.574522,0.840993,-0.261419,0.00514385
-0.582979,0.820321,-0.282574,0.00693844
-0.561233,0.83022,-0.277152,0.0056527
-0.538242,0.840187,-0.287244,0.00482004
-0.538242,0.840187,-0.287244,0.00482004
