mu,sigma,I,errs
1.09163,0.872581,0.623048,0.0392598
1.10723,0.88603,0.601696,0.0341208
1.09184,0.882644,0.444084,0.0343872
1.09381,0.860195,0.435619,0.0312493
1.09381,0.860195,0.435619,0.0312493
1.09506,0.882452,0.520105,0.0301824
1.07297,0.889283,0.423493,0.0348589
1.06659,0.899198,0.510067,0.0311768
1.0881,0.910215,0.505876,0.0311906
1.07372,0.902801,0.665228,0.0450086
1.08085,0.920937,0.53394,0.0346543
1.08085,0.920937,0.53394,0.0346543
1.08085,0.920937,0.53394,0.0346543
1.08934,0.898159,0.475033,0.0324913
1.06451,0.888534,0.485709,0.0413632
1.05479,0.908862,0.282976,0.0279285
1.05479,0.908862,0.282976,0.0279285
1.05479,0.908862,0.282976,0.0279285
1.07096,0.890767,0.57027,0.0313625
1.05528,0.88576,0.571421,0.0349623
1.04223,0.894077,0.641403,0.0437541
1.03848,0.893422,0.295329,0.0276758
1.06294,0.915803,0.481537,0.0285791
1.06294,0.915803,0.481537,0.0285791
1.06294,0.915803,0.481537,0.0285791
1.05169,0.925958,0.524579,0.0342698
1.03389,0.917733,0.500235,0.0389677
1.04253,0.933036,0.4146,0.0301177
1.03863,0.924982,0.39125,0.0264181
1.03863,0.924982,0.39125,0.0264181
1.03761,0.905238,0.37874,0.0350461
1.03761,0.905238,0.37874,0.0350461
1.06015,0.881713,0.315218,0.0281679
1.0354,0.86966,0.20821,0.0250036
1.04527,0.848026,0.356387,0.0309701
1.03984,0.870648,0.367465,0.0281734
1.06101,0.850888,0.267817,0.0235248
1.06101,0.850888,0.267817,0.0235248
1.07093,0.862363,0.429821,0.0328367
1.07565,0.842552,0.265156,0.0258093
1.07565,0.842552,0.265156,0.0258093
1.06476,0.856837,0.351617,0.0269065
1.05997,0.874832,0.391031,0.0377127
1.06574,0.853358,0.383659,0.0267449
1.06343,0.83859,0.228957,0.0271473
1.08804,0.862809,0.464851,0.0242716
1.08792,0.870431,0.457303,0.0308145
1.06879,0.872405,0.485645,0.0325236
1.05184,0.853045,0.156979,0.0217689
1.05184,0.853045,0.156979,0.0217689
1.07034,0.830116,0.253152,0.0213487
1.05172,0.839722,0.244647,0.0260626
1.02806,0.858496,0.328439,0.0320415
1.04902,0.851745,0.404519,0.0341609
1.0421,0.860175,0.170806,0.0269521
1.03103,0.866469,0.202131,0.0257423
1.05057,0.849666,0.201853,0.0248988
1.03014,0.843516,0.156236,0.0214333
1.04453,0.848085,0.273102,0.0235482
1.06153,0.829758,0.229443,0.0251089
1.07568,0.806572,0.264637,0.0252249
1.05783,0.825908,0.201764,0.0312933
1.04924,0.826684,0.183487,0.0242463
1.03108,0.821026,0.147581,0.0206218
1.0483,0.796837,0.0870405,0.0170931
1.06777,0.805595,0.199527,0.0218139
1.07763,0.784702,0.0741039,0.0181602
1.08125,0.809612,0.239018,0.0223945
1.08125,0.809612,0.239018,0.0223945
1.08566,0.792276,0.288235,0.025308
1.11058,0.789708,0.224307,0.019611
1.11058,0.789708,0.224307,0.019611
1.11798,0.803472,0.391718,0.0288377
1.12175,0.825236,0.345072,0.0238065
1.10729,0.823144,0.451034,0.0268775
1.1067,0.840866,0.478327,0.0271706
1.12113,0.827278,0.35863,0.0290859
1.11231,0.841073,0.291726,0.0278021
1.11312,0.838113,0.612613,0.0315285
1.11275,0.816671,0.272673,0.0280386
1.13194,0.83967,0.589849,0.0293633
1.11841,0.828301,0.574224,0.0341798
1.11515,0.850855,0.337948,0.023957
1.11515,0.850855,0.337948,0.023957
1.09545,0.834595,0.385697,0.0301224
1.08611,0.845391,0.472492,0.0308534
1.08176,0.835785,0.284344,0.0260035
1.08176,0.835785,0.284344,0.0260035
1.08176,0.835785,0.284344,0.0260035
1.1023,0.854109,0.463453,0.0264288
1.08863,0.87506,0.537261,0.0372242
1.08738,0.888188,0.413624,0.0242376
1.06384,0.879019,0.382509,0.0343982
1.08137,0.892884,0.488431,0.0329635
1.08354,0.881389,0.557871,0.0342068
1.09242,0.875512,0.303366,0.026093
1.10712,0.891899,0.472488,0.0271767
1.09147,0.904578,0.739453,0.0395334
1.07534,0.920916,0.677072,0.039987
1.07536,0.910264,0.42322,0.0345764
1.06503,0.889351,0.446904,0.0337493
1.07681,0.889189,0.336633,0.0279483
1.07681,0.889189,0.336633,0.0279483
1.0638,0.906321,0.413692,0.0283232
1.05488,0.926582,0.571676,0.0354207
1.07973,0.947394,0.848407,0.0528567
1.09217,0.969786,0.783645,0.0448552
1.09422,0.94669,0.789349,0.038543
1.07123,0.937297,0.536676,0.033958
1.09343,0.920689,0.885489,0.0557371
1.10366,0.902825,0.628463,0.0384105
1.12609,0.903002,0.656261,0.0462588
1.12609,0.903002,0.656261,0.0462588
1.10628,0.903554,0.658247,0.0380869
1.10628,0.903554,0.658247,0.0380869
1.09526,0.923492,0.687779,0.0376247
1.07563,0.932415,0.596095,0.0333495
1.07563,0.932415,0.596095,0.0333495
1.0578,0.92411,0.547983,0.0369884
1.05364,0.931893,0.487281,0.0345012
1.05364,0.931893,0.487281,0.0345012
1.05363,0.921317,0.511215,0.037141
1.04813,0.92381,0.353364,0.0280702
1.06719,0.930997,0.612244,0.0424621
1.06833,0.93827,0.46947,0.0407282
1.06833,0.93827,0.46947,0.0407282
1.05805,0.946519,0.643673,0.0498429
1.07743,0.951461,0.884264,0.0552317
1.1002,0.946329,0.845225,0.0420275
1.10816,0.95991,0.823481,0.0527267
1.11077,0.952631,1.13065,0.0537599
1.1156,0.943935,1.12454,0.056237
1.10352,0.954731,0.459072,0.0277605
1.10352,0.954731,0.459072,0.0277605
1.10352,0.954731,0.459072,0.0277605
1.10352,0.954731,0.459072,0.0277605
1.09701,0.975001,0.830112,0.0444968
1.09765,0.979621,0.958093,0.0482459
1.09765,0.979621,0.958093,0.0482459
1.08632,0.980592,0.735095,0.0401481
1.07248,1.00397,1.12724,0.0506343
1.09538,1.00268,1.24534,0.0615734
1.10589,0.989006,1.23784,0.0658402
1.08367,0.977671,1.00702,0.0538038
1.08611,0.97045,0.85147,0.0436587
1.08252,0.971745,1.14931,0.049063
1.09596,0.949342,0.695872,0.0359447
1.07789,0.955322,0.744486,0.0461914
1.06478,0.961416,0.705676,0.0380729
1.04264,0.977675,0.507269,0.0327618
1.04264,0.977675,0.507269,0.0327618
1.04264,0.977675,0.507269,0.0327618
1.02112,0.965512,0.55359,0.0492656
1.01245,0.951466,0.554004,0.0390821
1.01245,0.951466,0.554004,0.0390821
0.99443,0.939201,0.437371,0.0400479
0.983788,0.941549,0.33058,0.0278004
0.965698,0.934859,0.190169,0.0245008
0.969199,0.916997,0.199524,0.0260336
0.971428,0.914032,0.0513501,0.020694
0.979565,0.911111,0.000412413,0.0196671
0.979565,0.911111,0.000412413,0.0196671
0.95587,0.887891,0.0509772,0.0226714
0.95587,0.887891,0.0509772,0.0226714
0.967733,0.87259,0.00209523,0.0165929
0.96514,0.866517,0.0476562,0.0232009
0.96514,0.866517,0.0476562,0.0232009
0.966569,0.843724,0.093042,0.0219513
0.975253,0.851768,0.0913343,0.0300934
0.965181,0.839252,-0.0799439,0.0182018
0.965181,0.839252,-0.0799439,0.0182018
0.963626,0.821895,-0.0988216,0.0177403
0.957505,0.822226,-0.109752,0.0146175
0.969662,0.802291,-0.143206,0.0143877
0.967014,0.817527,-0.0338949,0.0193837
0.978724,0.824543,0.0334339,0.0181199
0.971058,0.841314,0.170489,0.0237058
0.99189,0.849221,0.05389,0.0260013
0.985287,0.841557,0.0164688,0.0159729
0.985287,0.841557,0.0164688,0.0159729
0.968509,0.857326,0.0243307,0.0247638
0.948156,0.880824,0.144244,0.0263791
0.938131,0.89276,0.0945776,0.0295717
0.948546,0.911961,0.112874,0.0251744
0.928897,0.899689,0.094331,0.0251047
0.919733,0.899511,0.113346,0.0243586
0.903472,0.900702,0.0165104,0.0196447
0.880045,0.880757,-0.0186717,0.0249336
0.872436,0.887835,-0.0971953,0.0135998
0.850469,0.904748,-0.00357842,0.0185948
0.841669,0.905409,0.0718385,0.0222148
0.819493,0.897455,-0.0375157,0.0227591
0.818925,0.892018,-0.026427,0.0264306
0.79912,0.900675,-0.0854074,0.0158685
0.778601,0.897967,-0.17864,0.0136135
0.795013,0.919209,-0.153113,0.016274
0.784724,0.928489,0.0149259,0.0244498
0.785224,0.948123,-0.078018,0.0161453
0.768574,0.95393,-0.0927457,0.0179619
0.772797,0.953168,-0.0501348,0.0192723
0.772797,0.953168,-0.0501348,0.0192723
0.790226,0.967074,-0.0271079,0.0217468
0.782963,0.955908,-0.0351298,0.0178486
0.798682,0.93891,0.0123316,0.023657
0.811521,0.916947,-0.111449,0.0170705
0.798269,0.902256,-0.0858832,0.0242837
0.79164,0.886244,-0.159968,0.0128983
0.770279,0.874817,-0.232617,0.0112918
0.765835,0.899572,-0.144842,0.0164213
0.748942,0.894939,-0.140411,0.0149655
0.743218,0.888955,-0.194094,0.0108626
0.758117,0.885874,-0.152753,0.016582
0.762897,0.863802,-0.181274,0.0124534
0.787333,0.860083,-0.173713,0.0189245
0.789009,0.843383,-0.172943,0.0207289
0.779786,0.866167,-0.250101,0.0093583
0.756055,0.855496,-0.270422,0.0103896
0.734417,0.832082,-0.266558,0.00646679
0.738565,0.855556,-0.26979,0.0101133
0.718939,0.844944,-0.240565,0.0117934
0.694761,0.83966,-0.309225,0.00742465
0.685026,0.862144,-0.276887,0.00702105
0.666237,0.865763,-0.242372,0.0101465
0.674673,0.856615,-0.289703,0.00767829
0.693369,0.87705,-0.215961,0.0129954
0.674873,0.88028,-0.265317,0.00921143
0.657249,0.881614,-0.234274,0.0172179
0.642688,0.879523,-0.258047,0.00706042
0.63129,0.903517,-0.301743,0.00556286
0.644541,0.884857,-0.237483,0.00925512
0.643773,0.867853,-0.303816,0.00571728
0.664075,0.881735,-0.248605,0.0126797
0.675945,0.897299,-0.19475,0.0129848
0.653318,0.890377,-0.262118,0.0106907
0.658717,0.911523,-0.195415,0.0106064
0.642216,0.892082,-0.212458,0.018639
0.640228,0.907542,-0.22902,0.0105143
0.617589,0.907045,-0.221736,0.0107422
0.629665,0.896365,-0.276921,0.00805553
0.63823,0.872353,-0.289797,0.00490512
0.658151,0.883159,-0.26468,0.0100561
0.635277,0.87214,-0.297941,0.00572258
0.642288,0.870249,-0.337292,0.00503874
0.666501,0.887729,-0.257982,0.00648906
0.669258,0.888523,-0.298363,0.00665013
0.656494,0.905715,-0.211036,0.0106505
0.653041,0.903305,-0.245087,0.0112709
0.64019,0.910898,-0.187772,0.0141646
0.658178,0.929451,-0.244148,0.00876057
0.659358,0.935838,-0.199307,0.0123049
0.680612,0.926825,-0.181507,0.0143151
0.700972,0.909828,-0.262434,0.00923829
0.682049,0.91355,-0.165456,0.0133624
0.681197,0.895009,-0.149749,0.0155154
0.671787,0.87601,-0.262957,0.01299
0.681437,0.862159,-0.221859,0.0111164
0.672807,0.886685,-0.24927,0.010021
0.697674,0.87957,-0.251795,0.00912585
0.68667,0.855582,-0.223539,0.00822784
0.664144,0.843058,-0.307168,0.00647376
0.653657,0.866373,-0.3084,0.0105756
0.673295,0.862271,-0.243561,0.0126686
0.683797,0.851222,-0.266245,0.00763968
0.699981,0.848714,-0.276551,0.00899551
0.720181,0.832092,-0.305348,0.00729661
0.705255,0.840854,-0.268969,0.00914997
0.685177,0.851691,-0.28866,0.0070837
0.684529,0.850523,-0.313252,0.00683705
0.685093,0.846486,-0.249991,0.0109874
0.681513,0.827624,-0.317302,0.00546418
0.70375,0.804322,-0.327754,0.00816888
0.704113,0.824257,-0.313246,0.0056844
0.705827,0.814162,-0.306279,0.00877
0.722602,0.808836,-0.325082,0.00654639
0.709792,0.788071,-0.307886,0.00907429
0.690277,0.79373,-0.348361,0.00461574
0.682946,0.771376,-0.349225,0.00429675
0.703181,0.774276,-0.351732,0.0043764
0.723363,0.764314,-0.35696,0.00456609
0.709879,0.766938,-0.334825,0.00510762
0.692461,0.779544,-0.345412,0.00509442
0.673294,0.794815,-0.327419,0.00451484
0.696498,0.801557,-0.303653,0.00525024
0.687798,0.777341,-0.316611,0.00554632
0.671991,0.773617,-0.333246,0.0064352
0.694171,0.766075,-0.345115,0.00373594
0.702529,0.759853,-0.34151,0.00572112
0.715555,0.769665,-0.338925,0.00386183
0.700364,0.777496,-0.356915,0.00632279
0.709142,0.783529,-0.342194,0.0058049
0.690939,0.767387,-0.344732,0.00405658
0.694737,0.764676,-0.347594,0.00412468
0.716651,0.768499,-0.337288,0.00606482
0.705561,0.786545,-0.336295,0.00558613
0.691604,0.80167,-0.29936,0.00648338
0.711881,0.795093,-0.344326,0.00548317
0.722281,0.781295,-0.299352,0.00875877
0.698838,0.785857,-0.354259,0.00541401
0.683355,0.762485,-0.334552,0.00557402
0.677076,0.774923,-0.303413,0.00628343
0.671089,0.784765,-0.331688,0.00524356
0.648804,0.799812,-0.311472,0.00514464
0.661453,0.802124,-0.310447,0.00537988
0.65271,0.789734,-0.33828,0.00447439
0.654925,0.768011,-0.323736,0.00510267
0.632202,0.785177,-0.337613,0.00433084
0.629023,0.779811,-0.315542,0.00494417
0.619898,0.798948,-0.308178,0.00401816
0.607539,0.800632,-0.299743,0.00538034
0.602602,0.798416,-0.299703,0.00456696
0.617603,0.823247,-0.312527,0.00446971
0.606793,0.814263,-0.313394,0.00624396
0.6282,0.807853,-0.313274,0.00493065
0.621232,0.814757,-0.301743,0.00486123
0.604859,0.838124,-0.268937,0.00616535
0.586386,0.857455,-0.326434,0.00418541
0.588259,0.8598,-0.291851,0.00624876
0.593834,0.86605,-0.293398,0.0059655
0.59805,0.880679,-0.294814,0.00523992
0.57795,0.895686,-0.271369,0.00504262
0.553272,0.881936,-0.277676,0.00625685
0.570956,0.871999,-0.295579,0.00464246
0.593987,0.883894,-0.22916,0.00997775
0.589986,0.873048,-0.290449,0.00584287
0.598179,0.857397,-0.287717,0.00615874
0.611922,0.844733,-0.239577,0.01484
0.600904,0.862164,-0.248871,0.00930089
0.617577,0.84155,-0.256995,0.0108938
0.611525,0.822753,-0.297705,0.00449906
0.617764,0.81733,-0.330962,0.00503491
0.629679,0.804795,-0.329002,0.00581939
0.620341,0.786502,-0.336408,0.00413157
0.643005,0.783923,-0.322084,0.00401015
0.650816,0.805853,-0.35056,0.00432822
0.650816,0.805853,-0.35056,0.00432822
0.653292,0.786821,-0.331225,0.00474801
0.661033,0.76486,-0.32421,0.00468745
0.683088,0.780898,-0.306662,0.00668386
0.660824,0.777231,-0.334554,0.00474754
0.667317,0.77719,-0.322313,0.00571354
0.683784,0.756133,-0.372139,0.00287193
0.708121,0.74282,-0.358728,0.00402329
0.707677,0.735777,-0.391757,0.00366625
0.685871,0.730592,-0.350692,0.00430097
0.660959,0.714494,-0.375883,0.00333716
0.68157,0.719174,-0.378065,0.00275437
0.688571,0.713793,-0.37054,0.00291742
0.694714,0.70837,-0.379922,0.00297018
0.689504,0.707665,-0.372104,0.00303194
0.672339,0.690023,-0.358743,0.00307931
0.684977,0.678604,-0.395978,0.00254257
0.701359,0.671685,-0.403313,0.00284769
0.695072,0.655313,-0.389216,0.00194059
0.692952,0.635406,-0.398828,0.00362636
0.705668,0.619791,-0.419688,0.00208086
0.713888,0.619192,-0.420551,0.00170063
0.731737,0.618345,-0.41878,0.00150389
0.73443,0.637568,-0.422732,0.00175339
0.740623,0.649102,-0.427414,0.00256951
0.718244,0.631206,-0.412694,0.00198956
0.7252,0.6148,-0.423896,0.00189041
0.717853,0.61426,-0.406465,0.00207718
0.708417,0.622627,-0.409052,0.00176305
0.709425,0.638432,-0.410875,0.00222389
0.731727,0.641109,-0.426112,0.00154441
0.730992,0.665651,-0.399179,0.00335742
0.711831,0.648838,-0.402608,0.00223436
0.722911,0.663591,-0.409393,0.00221839
0.706105,0.679719,-0.39592,0.00293679
0.721279,0.679425,-0.405503,0.00254876
0.727911,0.661387,-0.412271,0.00385697
0.706253,0.657738,-0.411475,0.00256581
0.682682,0.646989,-0.396861,0.00253506
0.695203,0.623812,-0.388233,0.0023589
0.705944,0.616289,-0.396774,0.00202874
0.708255,0.598277,-0.415924,0.00219508
0.712766,0.611715,-0.413396,0.00201013
0.692292,0.605926,-0.39631,0.00234182
0.710465,0.608992,-0.408139,0.0020373
0.708105,0.616917,-0.413957,0.00224961
0.726275,0.593964,-0.42484,0.00199856
0.726384,0.571276,-0.39737,0.00190421
0.718744,0.584843,-0.421694,0.00195578
0.708253,0.560056,-0.387004,0.00239072
0.707601,0.564144,-0.395423,0.00256359
0.701567,0.544776,-0.38075,0.00339494
0.701567,0.544776,-0.38075,0.00339494
0.715896,0.569733,-0.407084,0.00230428
0.697336,0.583897,-0.403692,0.00253058
0.674283,0.574176,-0.3767,0.00263236
0.689985,0.54977,-0.37988,0.00259969
0.674639,0.53898,-0.345118,0.00309315
0.667571,0.53996,-0.332413,0.00330129
0.67979,0.547811,-0.35974,0.00307586
0.694758,0.545255,-0.360028,0.00287259
0.692711,0.559631,-0.380245,0.00268097
0.705855,0.547062,-0.367846,0.00256563
0.711498,0.567565,-0.399662,0.00243806
0.73615,0.559034,-0.40252,0.00228292
0.734098,0.563312,-0.407711,0.00236911
0.713238,0.550856,-0.393029,0.0025932
0.732534,0.558113,-0.408067,0.00237479
0.714293,0.542374,-0.383381,0.00264994
0.697496,0.51793,-0.318272,0.00351226
0.718384,0.513164,-0.323943,0.00395936
0.704453,0.511974,-0.316892,0.00352358
0.71333,0.503193,-0.314375,0.00353606
0.736146,0.49891,-0.306909,0.00381897
0.723983,0.517491,-0.341677,0.00319443
0.741881,0.533712,-0.366614,0.00307584
0.737899,0.547652,-0.3854,0.00243611
0.74184,0.538543,-0.386329,0.00277266
0.76147,0.527325,-0.357877,0.0027657
0.769828,0.541861,-0.401736,0.00252342
0.781087,0.532775,-0.379371,0.00294147
0.775662,0.551607,-0.405972,0.00235954
0.758395,0.535275,-0.3864,0.00302057
0.754226,0.545402,-0.379004,0.00316288
0.774874,0.563498,-0.420183,0.00207593
0.774871,0.538937,-0.39086,0.0028387
0.789185,0.555187,-0.409576,0.00211342
0.810554,0.572744,-0.426814,0.00181728
0.802523,0.583162,-0.446088,0.00157518
0.790939,0.591576,-0.437914,0.00148197
0.767477,0.576082,-0.43221,0.00186259
0.758542,0.589299,-0.423441,0.00152737
0.753708,0.593387,-0.443656,0.00170533
0.753708,0.593387,-0.443656,0.00170533
0.768784,0.599457,-0.441445,0.00131882
0.747104,0.61122,-0.434707,0.00147641
0.76015,0.59372,-0.445752,0.00159494
0.782098,0.606694,-0.443093,0.00126355
0.77449,0.609569,-0.447023,0.00139999
0.753696,0.587768,-0.430219,0.0015059
0.744943,0.587015,-0.42651,0.00190467
0.764366,0.564698,-0.409312,0.00199661
0.746008,0.56407,-0.41084,0.0020124
0.748877,0.540922,-0.390426,0.00269975
0.744581,0.562811,-0.411599,0.00236126
0.768451,0.56876,-0.430621,0.00213275
0.751976,0.551767,-0.404694,0.00240048
0.740084,0.56158,-0.414967,0.00212786
0.741317,0.566743,-0.415375,0.00238086
0.73519,0.570021,-0.411407,0.00226909
0.73519,0.570021,-0.411407,0.00226909
0.757498,0.555891,-0.405725,0.00215763
0.764119,0.551648,-0.416381,0.00245181
0.764119,0.551648,-0.416381,0.00245181
0.760724,0.572895,-0.422343,0.00150401
0.756926,0.581297,-0.423913,0.00178912
0.749414,0.601388,-0.427657,0.00163477
0.749128,0.59264,-0.432721,0.00174736
0.749214,0.568197,-0.407347,0.00228213
0.739056,0.550289,-0.406536,0.00241329
0.738129,0.557315,-0.396477,0.00234022
0.745263,0.581265,-0.423958,0.0019016
0.723654,0.578065,-0.419542,0.00213874
0.723654,0.578065,-0.419542,0.00213874
0.699002,0.596398,-0.401154,0.00218462
0.685649,0.601754,-0.391185,0.00262777
0.670786,0.592581,-0.379473,0.00251568
0.685877,0.583274,-0.372815,0.00236828
0.705908,0.601798,-0.400597,0.00187451
0.726188,0.6115,-0.423378,0.00175238
0.706299,0.601629,-0.404763,0.00220944
0.697172,0.611723,-0.405931,0.00189272
0.71024,0.61478,-0.401938,0.00212311
0.732885,0.625343,-0.436999,0.00206934
0.732885,0.625343,-0.436999,0.00206934
0.723876,0.643412,-0.41092,0.00202021
0.719125,0.653022,-0.412968,0.00208788
0.705712,0.636237,-0.405683,0.00240618
0.715101,0.656497,-0.414498,0.00250635
0.715101,0.656497,-0.414498,0.00250635
0.713388,0.680044,-0.39769,0.00285858
0.733432,0.669889,-0.409351,0.00236148
0.710564,0.66618,-0.394844,0.00230071
0.706767,0.65093,-0.409304,0.00213179
0.72757,0.668286,-0.411069,0.00237257
0.712773,0.681613,-0.393564,0.00231162
0.728321,0.670385,-0.404884,0.00191137
0.737046,0.677365,-0.399368,0.00333825
0.719443,0.696641,-0.389085,0.00335478
0.698155,0.674364,-0.401959,0.00240412
0.682056,0.655229,-0.375111,0.00268971
0.696967,0.651773,-0.392694,0.00215952
0.718742,0.673434,-0.393209,0.00282097
0.732521,0.673696,-0.403426,0.00273358
0.753371,0.670403,-0.409651,0.00377254
0.770233,0.681963,-0.410487,0.00286333
0.791849,0.703357,-0.393834,0.00366664
0.812576,0.726788,-0.390268,0.00553352
0.789849,0.724385,-0.395733,0.00435289
0.790421,0.707222,-0.370345,0.00481302
0.776837,0.695139,-0.415435,0.00294132
0.761817,0.68098,-0.423221,0.00246196
0.739243,0.681837,-0.40553,0.00319461
0.745305,0.685914,-0.406903,0.00277199
