temp,finalChi,err
0.5,64.8641,5.76505
0.6,44.9455,3.2842
0.7,24.8341,1.44858
0.8,15.6288,0.954433
0.9,10.3645,0.471914
1,7.54529,0.29336
1.1,5.74607,0.256984
1.2,4.32443,0.126797
1.3,3.54663,0.088266
1.4,2.94852,0.0815187
1.5,2.46057,0.0749778
1.6,2.15779,0.0649142
1.7,1.87746,0.0539967
1.8,1.68463,0.0488986
1.9,1.49582,0.0327544
2,1.34972,0.0262556
