temp,finalEnergy,err
0.5,-0.960556,0.00618128
0.6,-0.933568,0.00510699
0.7,-0.892056,0.00278631
0.8,-0.846856,0.00257264
0.9,-0.80512,0.00236956
1,-0.763432,0.00209897
1.1,-0.725828,0.00169307
1.2,-0.684528,0.00145311
1.3,-0.648188,0.00172628
1.4,-0.615,0.001657
1.5,-0.583764,0.00137492
1.6,-0.555244,0.000902049
1.7,-0.52904,0.00118602
1.8,-0.505368,0.00155019
1.9,-0.483388,0.00117421
2,-0.46204,0.00112996
