temp,finalMag,err
0.5,-0.094906,0.155874
0.6,0.017694,0.113426
0.7,-0.002686,0.0780728
0.8,0.025876,0.041351
0.9,0.007116,0.0255129
1,0.016194,0.0182349
1.1,0.016352,0.0133253
1.2,0.025318,0.00901564
1.3,0.01785,0.00718827
1.4,0.005288,0.00765459
1.5,0.003822,0.00713378
1.6,0.00414,0.00654762
1.7,0.00626,0.00577773
1.8,0.003572,0.00429044
1.9,0.003596,0.00376812
2,0.001062,0.00343387
