temp,finalHeat,err
0.5,0.276891,0.0261951
0.6,0.38845,0.0228778
0.7,0.437709,0.0132077
0.8,0.439953,0.0134034
0.9,0.436004,0.00876297
1,0.41833,0.00762172
1.1,0.399969,0.0060348
1.2,0.36734,0.00535865
1.3,0.340881,0.00315697
1.4,0.315966,0.00388069
1.5,0.292899,0.003516
1.6,0.274881,0.00342989
1.7,0.251909,0.00284922
1.8,0.235043,0.00254747
1.9,0.218426,0.00213135
2,0.200401,0.00173663
