temp,finalHeat,err
0.5,0.331483,0.00542307
0.6,0.415212,0.00332752
0.7,0.425104,0.00265736
0.8,0.434421,0.00203818
0.9,0.433741,0.00127442
1,0.417663,0.00109165
1.1,0.395408,0.000857715
1.2,0.370736,0.000830337
1.3,0.343399,0.000760123
1.4,0.31731,0.000542174
1.5,0.293245,0.000468829
1.6,0.270073,0.000401915
1.7,0.249453,0.000374276
1.8,0.22982,0.000368143
1.9,0.212269,0.000336182
2,0.196533,0.000319324
