temp,finalChi,err
0.5,77.6458,0.689339
0.6,44.1622,0.514069
0.7,24.3565,0.282931
0.8,15.0641,0.136447
0.9,10.222,0.0796435
1,7.35148,0.0476661
1.1,5.6022,0.02935
1.2,4.40731,0.0195298
1.3,3.58351,0.0148644
1.4,2.97463,0.0117305
1.5,2.52166,0.00934707
1.6,2.18439,0.00729256
1.7,1.90545,0.0063762
1.8,1.68661,0.00556777
1.9,1.51,0.00496928
2,1.36267,0.00408444
