gen,path,length,meanLength
170,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
171,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
172,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
173,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
174,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
175,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
176,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
177,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
178,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
179,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
180,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
181,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
182,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
183,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
184,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
185,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
186,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
187,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
188,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
189,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
190,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
191,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
192,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
193,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
194,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
195,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
196,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
197,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
198,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
199,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
200,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
201,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
202,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
203,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
204,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
205,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
206,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
207,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
208,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
209,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
210,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
211,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
212,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
213,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
214,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
215,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
216,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
217,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
218,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
219,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
220,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
221,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
222,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
223,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
224,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
225,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
226,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
227,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
228,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
229,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
230,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
231,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
232,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
233,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
234,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
235,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
236,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
237,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
238,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
239,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
240,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
241,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
242,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
243,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
244,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
245,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
246,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
247,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
248,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
249,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
250,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
251,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
252,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
253,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
254,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
255,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
256,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
257,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
258,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
259,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
260,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
261,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
262,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
263,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
264,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
265,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
266,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
267,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
268,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
269,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
270,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
271,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
272,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
273,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
274,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
275,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
276,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
277,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
278,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
279,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
280,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
281,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
282,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
283,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
284,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
285,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
286,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
287,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
288,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
289,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
290,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
291,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
292,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
293,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
294,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
295,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
296,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
297,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
298,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
299,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
300,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
301,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
302,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
303,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
304,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
305,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
306,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
307,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
308,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
309,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
310,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
311,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
312,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
313,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
314,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
315,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
316,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
317,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
318,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
319,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
320,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
321,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
322,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
323,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
324,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
325,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
326,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
327,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
328,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
329,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
330,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
331,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
332,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
333,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
334,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
335,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
336,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
337,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
338,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
339,0;7;20;13;18;9;11;12;25;21;2;6;8;32;31;19;33;15;5;17;27;24;26;4;30;10;3;16;28;29;22;23;1;14;0,2.10096,2.10096
