nBlocks,directCall,discreteCall,directCallErr,discreteCallErr,directPut,discretePut,directPutErr,discretePutErr
75,14.7644,15.2505,0.228116,0.252524,5.5101,5.40417,0.0984805,0.107609
76,14.7505,15.2849,0.225563,0.251585,5.4986,5.40772,0.0978714,0.106261
77,14.7093,15.2776,0.226435,0.248448,5.50144,5.42986,0.0966504,0.107202
78,14.7284,15.2867,0.224372,0.245452,5.48394,5.44007,0.0970108,0.106328
79,14.7289,15.2828,0.22155,0.242395,5.47351,5.44306,0.0963566,0.105033
80,14.7596,15.3343,0.220935,0.244859,5.46212,5.4324,0.0958389,0.104275
81,14.7532,15.3328,0.218318,0.241859,5.46557,5.42199,0.0947257,0.10352
82,14.7271,15.3088,0.21724,0.240131,5.47781,5.43352,0.094375,0.102914
83,14.7082,15.2798,0.215471,0.239025,5.50253,5.42866,0.0964658,0.101798
84,14.7816,15.2798,0.225221,0.236196,5.47356,5.43475,0.0996303,0.100777
85,14.7563,15.2909,0.224019,0.2337,5.47699,5.42561,0.0985247,0.100016
86,14.7704,15.272,0.221874,0.231776,5.46508,5.43054,0.0981109,0.0989827
87,14.7599,15.2707,0.219586,0.22913,5.47677,5.42426,0.0976915,0.0980526
88,14.7227,15.2649,0.220266,0.226616,5.4677,5.41439,0.0970128,0.0974462
89,14.7044,15.3269,0.218578,0.232513,5.45799,5.40002,0.096419,0.0974221
90,14.6817,15.3177,0.217352,0.230129,5.45556,5.40355,0.0953843,0.09641
91,14.6671,15.2789,0.215471,0.230901,5.44733,5.40427,0.0947009,0.095359
92,14.666,15.2794,0.213144,0.228405,5.44921,5.41283,0.093696,0.0947164
93,14.6704,15.2465,0.210909,0.228341,5.45531,5.40767,0.0928945,0.0938454
94,14.6934,15.2347,0.209946,0.226233,5.45231,5.41516,0.0919603,0.0931539
95,14.7173,15.2443,0.209119,0.224069,5.45649,5.41183,0.0910932,0.0922385
96,14.7259,15.2449,0.207129,0.221748,5.44845,5.40391,0.0905073,0.0916258
97,14.7229,15.2139,0.205026,0.221646,5.46693,5.41998,0.0914647,0.0920993
98,14.7426,15.2015,0.203892,0.219747,5.46118,5.44962,0.0907184,0.0958595
99,14.7669,15.1936,0.203308,0.217683,5.44741,5.44461,0.0908553,0.0950282
100,14.7588,15.2054,0.201447,0.215838,5.44207,5.42469,0.0901097,0.0961673
101,14.7789,15.2013,0.200464,0.21375,5.43219,5.42717,0.089767,0.095252
102,14.7962,15.1781,0.199267,0.212928,5.42381,5.42175,0.0892853,0.0944777
103,14.7821,15.169,0.197849,0.211068,5.42027,5.42575,0.0884936,0.0936502
104,14.7524,15.1957,0.198196,0.210744,5.42,5.41623,0.0876472,0.0932416
105,14.7192,15.174,0.199103,0.209878,5.42316,5.41857,0.0868738,0.0923875
106,14.7009,15.1534,0.198074,0.208915,5.4417,5.42598,0.0880329,0.0918197
107,14.7034,15.1444,0.196246,0.207171,5.44171,5.42213,0.087214,0.0910471
108,14.7119,15.1397,0.194623,0.205314,5.4494,5.42674,0.0867513,0.0903254
109,14.7261,15.1276,0.193373,0.2038,5.4482,5.41808,0.0859674,0.089918
110,14.7343,15.1166,0.191797,0.202255,5.44615,5.42267,0.0852141,0.0892221
111,14.7374,15.1324,0.190102,0.201064,5.44716,5.42729,0.0844559,0.0885429
112,14.7424,15.0988,0.188477,0.202094,5.46551,5.43624,0.0856924,0.0882104
113,14.7105,15.0751,0.18951,0.201714,5.47617,5.4387,0.0856041,0.0874678
114,14.7269,15.0742,0.188571,0.199955,5.48002,5.4272,0.0849436,0.0874628
115,14.7481,15.085,0.188137,0.198518,5.4718,5.42896,0.084608,0.0867235
116,14.7237,15.0892,0.188116,0.196859,5.47516,5.43015,0.0839491,0.0859872
117,14.7011,15.0883,0.187882,0.195186,5.4753,5.42843,0.0832348,0.0852727
118,14.6924,15.0985,0.186497,0.193804,5.46712,5.43289,0.0829369,0.0846703
119,14.6753,15.085,0.185729,0.192654,5.46494,5.43219,0.0822715,0.0839647
120,14.6898,15.0748,0.184756,0.191326,5.45555,5.43452,0.0821282,0.0833005
121,14.7219,15.0573,0.186038,0.190555,5.44133,5.42952,0.0826845,0.0827662
122,14.7393,15.0639,0.185331,0.189114,5.43414,5.42528,0.0823239,0.0822
123,14.7544,15.0439,0.184451,0.188652,5.435,5.44122,0.0816619,0.0830782
124,14.743,15.0568,0.183322,0.187585,5.42643,5.43663,0.0814582,0.0825382
125,14.7508,15.071,0.182029,0.18663,5.42932,5.43964,0.0808608,0.0819359
126,14.7332,15.051,0.181447,0.186236,5.4303,5.44324,0.0802276,0.0813675
127,14.731,15.0645,0.180038,0.18527,5.4263,5.44448,0.0796985,0.0807389
128,14.7162,15.0422,0.179243,0.185178,5.43096,5.45165,0.0792152,0.0804304
129,14.7429,15.0298,0.179841,0.184166,5.43309,5.44465,0.0786325,0.0801157
130,14.7269,15.0119,0.179174,0.183625,5.43271,5.46199,0.0780308,0.0813714
131,14.7284,15.0046,0.177818,0.182374,5.43735,5.46515,0.0775759,0.0808144
132,14.7291,15.0348,0.176478,0.183502,5.43128,5.45939,0.0772289,0.0804114
133,14.7266,15.0037,0.175173,0.184771,5.42465,5.44876,0.076937,0.0805132
