mu,sigma,integral,error
0.879182,0.834295,-0.218591,0.0131524
0.879182,0.834295,-0.218591,0.0131524
0.877627,0.816938,-0.238584,0.0122813
0.871506,0.817269,-0.24812,0.0106432
0.883663,0.797334,-0.276869,0.00992076
0.881015,0.812571,-0.209712,0.0138731
0.892726,0.819586,-0.162334,0.0119717
0.885059,0.836358,-0.0418518,0.0183155
0.905891,0.844264,-0.133704,0.0193002
0.899288,0.836601,-0.152343,0.0125552
0.899288,0.836601,-0.152343,0.0125552
0.88251,0.852369,-0.132708,0.0196864
0.862157,0.875867,-0.0493674,0.0193976
0.852132,0.887803,-0.0981119,0.0221385
0.862547,0.907004,-0.067892,0.0186208
0.842898,0.894733,-0.0943822,0.0173653
0.833734,0.894554,-0.0723139,0.0176649
0.817473,0.895746,-0.138397,0.0144406
0.794046,0.8758,-0.127033,0.0215263
0.786437,0.882878,-0.22365,0.00904073
0.764471,0.899791,-0.134963,0.0152373
0.75567,0.900452,-0.0786812,0.0163277
0.733494,0.892498,-0.138993,0.0166195
0.732926,0.887061,-0.154185,0.0170282
0.713121,0.895718,-0.175033,0.0121874
0.692602,0.89301,-0.233129,0.0109018
0.709014,0.914252,-0.204918,0.011632
0.698725,0.923532,-0.0970906,0.0184504
0.699225,0.943166,-0.175522,0.0115855
0.682575,0.948973,-0.19569,0.0122978
0.686799,0.948211,-0.139471,0.0149015
0.693631,0.964307,-0.125347,0.0110767
0.71106,0.978213,-0.096169,0.0184576
0.703797,0.967046,-0.093683,0.0169175
0.719516,0.950048,-0.0497076,0.0211523
0.732355,0.928085,-0.164352,0.0156311
0.719103,0.913394,-0.131186,0.0214655
0.712474,0.897383,-0.214658,0.010993
0.691113,0.885956,-0.259178,0.00912687
0.686669,0.910711,-0.208139,0.013138
0.669776,0.906077,-0.191297,0.0126379
0.664052,0.900093,-0.231654,0.00833136
0.678951,0.897012,-0.197516,0.0129378
0.68373,0.87494,-0.240334,0.00942163
0.708167,0.871222,-0.227893,0.0163252
0.709843,0.854521,-0.200398,0.0196075
0.70062,0.877305,-0.267728,0.00804948
0.676889,0.866634,-0.286376,0.0084313
0.655251,0.84322,-0.272882,0.00583344
0.659399,0.866694,-0.289078,0.0085224
0.639773,0.856082,-0.248326,0.010685
0.615595,0.850798,-0.298618,0.00583845
0.60586,0.873282,-0.283612,0.00633107
0.587071,0.876902,-0.254844,0.00799902
0.595506,0.867753,-0.29582,0.00627369
0.614203,0.888188,-0.236215,0.0122996
0.595707,0.891419,-0.2679,0.00817967
0.578083,0.892753,-0.239798,0.0146134
0.563522,0.890661,-0.263552,0.00621065
0.552124,0.914656,-0.308328,0.00515965
0.565375,0.895995,-0.248879,0.00773149
0.564607,0.878992,-0.298781,0.00454134
0.584909,0.892873,-0.268025,0.010574
0.584909,0.892873,-0.268025,0.010574
0.562282,0.885951,-0.266862,0.00843327
0.567681,0.907097,-0.238279,0.00822824
0.55118,0.887656,-0.235345,0.0152837
0.549192,0.903116,-0.249819,0.00813383
0.526553,0.902618,-0.261388,0.00722878
0.538629,0.891939,-0.273358,0.00690681
0.547194,0.867926,-0.282627,0.00443084
0.567115,0.878732,-0.278992,0.00769233
0.544241,0.867714,-0.281424,0.00445448
0.551252,0.865823,-0.325324,0.00442595
0.575465,0.883303,-0.285856,0.00507976
0.578222,0.884097,-0.302563,0.00491291
0.565458,0.901289,-0.251989,0.00833178
0.562005,0.898878,-0.271822,0.00780867
0.549154,0.906472,-0.244937,0.00972407
0.567142,0.925024,-0.254997,0.00683587
0.568322,0.931411,-0.245478,0.00827792
0.589576,0.922399,-0.244013,0.00974977
0.609936,0.905402,-0.287497,0.00685745
0.591013,0.909124,-0.209261,0.0103562
0.590161,0.890583,-0.205189,0.0106802
0.580751,0.871583,-0.266251,0.00948731
0.590401,0.857733,-0.247107,0.00810876
0.581771,0.882259,-0.276597,0.00695623
0.606638,0.875143,-0.289563,0.00658309
0.595633,0.851156,-0.244786,0.00628991
0.573108,0.838632,-0.292237,0.00479388
0.562621,0.861947,-0.308517,0.00697969
0.582259,0.857845,-0.255371,0.0089517
0.592761,0.846795,-0.27036,0.00534012
0.608945,0.844288,-0.297144,0.00619163
0.629145,0.827665,-0.310926,0.00552653
0.614219,0.836428,-0.27747,0.00641384
0.594141,0.847265,-0.301996,0.00493771
0.593493,0.846097,-0.310761,0.00517185
0.594057,0.84206,-0.273621,0.00733601
0.590477,0.823198,-0.300086,0.00492785
0.612714,0.799895,-0.309482,0.00651259
0.613076,0.819831,-0.294879,0.00418254
0.614791,0.809735,-0.297482,0.00590209
0.631566,0.80441,-0.310569,0.0046392
0.618756,0.783644,-0.300072,0.00768748
0.599241,0.789304,-0.311974,0.00419361
0.59191,0.76695,-0.323218,0.0037473
0.612145,0.76985,-0.337909,0.00359294
0.612145,0.76985,-0.337909,0.00359294
0.612145,0.76985,-0.337909,0.00359294
0.594726,0.782456,-0.31054,0.00445929
0.575559,0.797727,-0.31018,0.00458165
0.598764,0.804468,-0.293783,0.00431661
0.590064,0.780253,-0.294132,0.00397235
0.574257,0.776528,-0.302816,0.00513548
0.596437,0.768987,-0.29311,0.00359859
0.604795,0.762764,-0.31588,0.00435151
0.61782,0.772577,-0.315177,0.00399054
0.602629,0.780408,-0.324997,0.00498844
0.611408,0.786441,-0.335438,0.00455384
0.611408,0.786441,-0.335438,0.00455384
0.615206,0.78373,-0.323537,0.00409203
0.63712,0.787554,-0.317911,0.00567459
0.626029,0.805599,-0.305857,0.00508543
0.612073,0.820725,-0.284175,0.00583296
0.63235,0.814147,-0.32558,0.00497681
0.64275,0.800349,-0.27388,0.00988097
0.619307,0.804911,-0.329742,0.00556077
0.603824,0.781539,-0.304029,0.00513617
0.597545,0.793977,-0.267818,0.00590583
0.591558,0.80382,-0.313116,0.0048291
0.569273,0.818866,-0.277022,0.00490006
0.581922,0.821178,-0.279545,0.00507992
0.573179,0.808788,-0.308295,0.00429289
0.575394,0.787065,-0.280983,0.00501845
0.55267,0.804231,-0.311114,0.00401695
0.549492,0.798865,-0.288719,0.00512667
0.540367,0.818002,-0.278649,0.0039675
0.528008,0.819687,-0.274797,0.005224
0.523071,0.81747,-0.271795,0.00444411
0.538071,0.842301,-0.279,0.00470566
0.527262,0.833317,-0.287904,0.00617112
0.548669,0.826907,-0.277474,0.00533007
0.5417,0.833812,-0.27147,0.0043626
0.525328,0.857178,-0.268728,0.00486719
0.506855,0.876509,-0.308908,0.00431418
0.508727,0.878854,-0.287127,0.00568707
0.514303,0.885104,-0.281079,0.0056794
0.518519,0.899734,-0.292325,0.00454304
0.498419,0.91474,-0.252416,0.00507045
0.47374,0.90099,-0.263647,0.0061353
0.491424,0.891054,-0.283037,0.00424444
0.514456,0.902949,-0.235086,0.00863973
0.510454,0.892102,-0.285938,0.00552983
0.518648,0.876451,-0.274261,0.00572562
0.53239,0.863787,-0.225436,0.0131465
0.521372,0.881218,-0.241746,0.00768513
0.538046,0.860604,-0.247003,0.0104541
0.531994,0.841808,-0.269564,0.00437027
0.538233,0.836385,-0.297918,0.00534803
0.550148,0.823849,-0.303631,0.00541261
0.540809,0.805557,-0.301076,0.00443117
0.563474,0.802978,-0.283897,0.0038433
0.571284,0.824907,-0.317664,0.00460589
0.571284,0.824907,-0.317664,0.00460589
0.573761,0.805875,-0.305856,0.00456277
0.581501,0.783914,-0.293386,0.00500826
0.603557,0.799952,-0.277365,0.00671738
0.581293,0.796285,-0.30958,0.00478181
0.587786,0.796244,-0.287939,0.00472767
0.604252,0.775187,-0.327256,0.00310912
0.62859,0.761875,-0.321934,0.00402221
0.628146,0.754831,-0.355143,0.00392526
0.60634,0.749646,-0.310687,0.00412503
0.581428,0.733548,-0.321329,0.00371306
0.602039,0.738228,-0.324791,0.00328277
0.60904,0.732847,-0.322011,0.00352495
0.615183,0.727424,-0.33304,0.00327106
0.609973,0.72672,-0.307503,0.00362029
0.592808,0.709078,-0.297796,0.00354534
0.605446,0.697659,-0.335272,0.00323625
0.621828,0.690739,-0.335943,0.00334796
0.615541,0.674367,-0.31375,0.00312174
0.613421,0.65446,-0.336723,0.00409075
0.626137,0.638845,-0.350336,0.00314104
0.634357,0.638246,-0.355797,0.00253319
0.652206,0.6374,-0.360226,0.00222124
0.654899,0.656622,-0.359464,0.00277447
0.661092,0.668156,-0.373978,0.0028288
0.638712,0.650261,-0.346963,0.00299768
0.645669,0.633855,-0.363338,0.00294813
0.638322,0.633314,-0.336759,0.00298818
0.628886,0.641681,-0.336655,0.00269539
0.629894,0.657486,-0.340496,0.00327349
0.652195,0.660163,-0.364824,0.00252551
0.651461,0.684705,-0.343532,0.00398681
0.6323,0.667892,-0.347858,0.0030599
0.64338,0.682645,-0.34722,0.00317372
0.626574,0.698774,-0.347803,0.00338442
0.641748,0.69848,-0.350539,0.0031304
0.64838,0.680441,-0.354965,0.00358935
0.626722,0.676792,-0.352727,0.00365518
0.60315,0.666043,-0.324262,0.00353323
0.60315,0.666043,-0.324262,0.00353323
0.613891,0.65852,-0.318562,0.00316315
0.616202,0.640508,-0.343397,0.00352168
0.620714,0.653945,-0.33074,0.00306611
0.60024,0.648157,-0.310158,0.00340888
0.618413,0.651223,-0.335486,0.00349898
0.616052,0.659147,-0.337921,0.00353626
0.634223,0.636194,-0.362835,0.0030855
0.634332,0.613507,-0.327188,0.00285475
0.626692,0.627073,-0.360208,0.0028972
