x
-0.446464
-0.36566
-0.500772
-0.444757
-0.649807
-0.483947
-0.640108
-0.52306
-0.502488
-0.546686
-0.371753
-0.435002
-0.502965
-0.485279
-0.461446
-0.488555
-0.533093
-0.45535
-0.333582
-0.648725
-0.346777
-0.436318
-0.58094
-0.416757
-0.391676
-0.518325
-0.551435
-0.550084
-0.629674
-0.547193
-0.439228
-0.680339
-0.633076
-0.377606
-0.455684
-0.417817
-0.461949
-0.439459
-0.488674
-0.597692
-0.412831
-0.582141
-0.477088
-0.353488
-0.560878
-0.462486
-0.461345
-0.339318
-0.521709
-0.515096
-0.494179
-0.328171
-0.621482
-0.552432
-0.314603
-0.379426
-0.66666
-0.510694
-0.397257
-0.632386
-0.271066
-0.65221
-0.369775
-0.638549
-0.63456
-0.296771
-0.422937
-0.437021
-0.338946
-0.436937
-0.481991
-0.485294
-0.410838
-0.50785
-0.550868
-0.522682
-0.466188
-0.164109
-0.448225
-0.43342
-0.489031
-0.586712
-0.386871
-0.651675
-0.574598
-0.496788
-0.49711
-0.444963
-0.42623
-0.619184
-0.41135
-0.604112
-0.443132
-0.420554
-0.598973
-0.681416
-0.475314
-0.481388
-0.625527
-0.522262
