r2,r2^2,err
5.40178,29.1792,0
5.25741,27.6612,0.144371
5.16957,26.7538,0.121094
5.16099,26.6581,0.0860546
5.11072,26.1473,0.0834909
5.11178,26.1535,0.0681782
5.04327,25.4826,0.0895179
5.01782,25.2252,0.0815935
5.03307,25.3751,0.0735565
5.04,25.441,0.0661543
5.03579,25.3951,0.0599867
5.00349,25.0793,0.0635771
4.94769,24.558,0.0808304
4.93865,24.4641,0.0753787
4.93493,24.4227,0.070272
4.96128,24.6895,0.0708166
4.95438,24.6174,0.0668778
4.97806,24.8582,0.0673529
4.95758,24.6582,0.0669201
4.96613,24.7404,0.0640596
4.97884,24.8663,0.062244
4.97996,24.874,0.059358
5.00593,25.1449,0.0623802
5.0022,25.1044,0.0598408
5.00906,25.1709,0.0578059
5.01713,25.2504,0.0561212
5.00458,25.1257,0.0554432
5.00136,25.091,0.0535229
5.01156,25.1934,0.0526418
5.02892,25.3738,0.0537384
5.02961,25.3781,0.0519805
5.03138,25.3934,0.0503611
5.03875,25.467,0.0493644
5.03546,25.4319,0.0480039
5.03732,25.4485,0.0466492
5.03542,25.4276,0.0453744
5.03334,25.4048,0.04418
5.02327,25.3054,0.0441665
5.01935,25.2648,0.0431968
5.01843,25.2538,0.0421133
5.01415,25.21,0.0412948
5.02374,25.3083,0.0414245
5.01775,25.248,0.0408915
5.01069,25.1778,0.0405692
5.01193,25.1888,0.0396768
5.01191,25.187,0.0388047
5.01019,25.1685,0.0380091
5.00615,25.1274,0.0374275
5.0151,25.2196,0.0377326
5.01484,25.2156,0.0369711
5.01064,25.173,0.0364818
5.0107,25.1724,0.0357734
5.01264,25.1908,0.0351456
5.01577,25.2215,0.0346306
5.01182,25.1815,0.0342248
5.01593,25.2226,0.0338585
5.00572,25.125,0.0347905
5.00283,25.0954,0.0343068
5.00145,25.0806,0.0337487
4.99835,25.049,0.0333258
4.99117,24.9794,0.0335515
4.99896,25.0598,0.0339122
4.99914,25.0604,0.0333701
5.00156,25.0839,0.0329335
5.00157,25.0829,0.0324229
5.00818,25.151,0.0326058
5.00428,25.1119,0.0323513
5.004,25.1081,0.0318732
5.00609,25.1283,0.0314774
4.99901,25.06,0.0318218
5.00369,25.1073,0.031718
5.0007,25.077,0.0314175
5.00508,25.1213,0.0312923
5.00572,25.1268,0.0308733
5.0018,25.0878,0.0307105
4.99601,25.0315,0.030851
4.99133,24.9855,0.0308057
4.99313,25.0028,0.0304615
4.99109,24.9818,0.0301425
4.98916,24.962,0.0298258
4.99003,24.9699,0.0294682
4.99145,24.9833,0.0291408
4.98512,24.9227,0.0294741
4.98392,24.91,0.0291458
4.9812,24.8826,0.0289292
4.97666,24.8384,0.0289492
4.97787,24.8497,0.0286401
4.97884,24.8586,0.0283294
4.9815,24.885,0.0281357
4.97887,24.8587,0.0279451
4.98466,24.9186,0.0282361
4.98111,24.8836,0.0281531
4.97883,24.8606,0.0279415
4.97922,24.8637,0.0276453
4.97873,24.8581,0.0273571
4.98299,24.9015,0.0274043
4.98219,24.8929,0.0271321
4.97845,24.8562,0.0271137
4.97709,24.8422,0.0268724
4.97065,24.7816,0.0273708
