x,y,z
0.23617,-0.550702,0.837333
0.222441,-0.110415,1.08891
-0.11632,-0.545893,0.627544
-0.213225,-0.753204,0.154256
-0.186372,-0.345303,0.453774
-0.220769,0.149827,0.403899
-0.220769,0.149827,0.403899
-0.678103,-0.291041,0.0658963
-0.678103,-0.291041,0.0658963
-0.452797,-0.593016,-0.0952373
-0.253531,-0.500563,-0.515626
-0.0801258,-0.52745,-0.249149
-0.318916,-0.338588,-0.254039
-0.0523345,0.0965104,-0.124299
0.293265,0.491762,0.0521746
0.660857,0.823783,-0.100548
0.470249,0.834989,0.0786664
0.295329,0.573109,0.565642
0.241694,0.773297,0.628047
0.214965,0.452057,0.948523
0.669308,0.128983,1.30942
0.498912,0.113745,1.71794
0.498912,0.113745,1.71794
0.946077,0.318927,1.47343
1.23576,-0.0026771,1.32745
1.68287,-0.0619126,0.858101
1.68287,-0.0619126,0.858101
1.82004,-0.130868,0.982838
2.05843,-0.556979,0.658714
2.37402,-0.42076,1.05366
2.54084,0.0496253,0.77259
2.54084,0.0496253,0.77259
2.17075,0.162842,0.61145
1.73713,0.230987,0.327922
1.52164,0.685541,-0.110897
1.1891,0.325003,0.306666
1.1891,0.325003,0.306666
0.926507,0.546542,-0.000830995
0.572138,0.82275,-0.342782
0.572138,0.82275,-0.342782
0.572138,0.82275,-0.342782
0.572138,0.82275,-0.342782
0.588285,1.24896,0.0913357
0.588285,1.24896,0.0913357
0.673344,0.949947,0.372297
0.727754,1.31577,0.12772
1.07866,1.16813,0.203056
0.988428,1.19266,-0.121308
0.988428,1.19266,-0.121308
0.522628,1.45127,0.151388
0.908739,1.06519,0.0503204
0.908739,1.06519,0.0503204
0.775916,1.5242,0.241695
1.06633,1.34731,0.0721046
1.06633,1.34731,0.0721046
1.1638,1.8074,-0.0341572
0.753195,2.01785,-0.170321
0.640836,1.91789,-0.355021
0.480689,1.69349,-0.117348
0.0376025,1.38925,-0.444715
0.0376025,1.38925,-0.444715
0.21275,1.58426,-0.460426
0.339954,1.11711,-0.932024
0.423371,0.782925,-0.847348
0.423371,0.782925,-0.847348
0.704278,0.59318,-0.697613
0.429953,0.590463,-0.592974
0.179655,0.878785,-0.895973
0.179655,0.878785,-0.895973
0.488707,0.411039,-0.678383
0.328815,0.58476,-0.26964
0.328815,0.58476,-0.26964
0.719573,0.20736,-0.534435
0.719573,0.20736,-0.534435
0.719573,0.20736,-0.534435
1.20201,0.475443,-0.0470413
1.6215,0.774645,-0.497038
1.47313,1.09364,-0.832964
0.97349,1.29251,-1.21386
0.675816,0.910159,-0.876182
0.765124,0.523023,-0.462617
0.877651,0.41739,-0.574715
1.28855,0.653085,-0.723924
1.28855,0.653085,-0.723924
0.944242,0.320176,-0.261758
0.677378,0.660104,-0.385568
0.898279,0.257752,-0.690982
0.898279,0.257752,-0.690982
0.467252,-0.182311,-0.431388
0.467252,-0.182311,-0.431388
-0.0272603,-0.26929,-0.36963
