r2,r2^2,err
5.26676,27.7387,0
5.56946,31.1105,0.302701
5.44855,29.777,0.212512
5.56855,31.1197,0.192302
5.42637,29.6151,0.205918
5.36528,28.9463,0.178886
5.41047,29.4226,0.157795
5.36384,28.9167,0.144391
5.32219,28.4693,0.133979
5.30938,28.3203,0.120517
5.25145,27.7301,0.123451
5.22436,27.4417,0.115905
5.19989,27.1824,0.109389
5.17477,26.9198,0.104343
5.13834,26.5532,0.103747
5.13024,26.4616,0.0973834
5.10693,26.2233,0.0943984
5.11003,26.2472,0.0890537
5.11131,26.2532,0.084246
5.08297,25.9732,0.0847991
5.07926,25.9293,0.0807451
5.10222,26.1682,0.080338
5.10171,26.1571,0.0767673
5.08368,25.9755,0.0756772
5.07425,25.8766,0.0731974
5.06495,25.7796,0.0709372
5.08344,25.9713,0.0707175
5.09539,26.0922,0.0691852
5.0835,25.9707,0.0678073
5.08556,25.9874,0.0655403
5.08375,25.9652,0.0634166
5.08061,25.9298,0.0614829
5.06501,25.7758,0.0615992
5.0532,25.6573,0.0609159
5.04567,25.5796,0.0596276
5.0413,25.5329,0.0581117
5.03724,25.4894,0.0566649
5.04615,25.5791,0.0558682
5.03749,25.4917,0.0551018
5.02669,25.3847,0.0547817
5.03379,25.4552,0.0538984
5.03951,25.5115,0.0529098
5.03557,25.4697,0.0518151
5.04939,25.6148,0.0524778
5.04891,25.6072,0.0513007
5.05555,25.6738,0.0506111
5.05731,25.6893,0.0495538
5.04789,25.596,0.0494166
5.0434,25.5493,0.0486055
5.03398,25.4564,0.0485458
5.04042,25.5212,0.0480189
5.03212,25.4388,0.0478135
5.02796,25.3957,0.0470863
5.03344,25.4503,0.0465298
5.03111,25.425,0.0457354
5.02735,25.386,0.0450686
5.03073,25.4187,0.0444001
5.03025,25.4119,0.0436306
5.02967,25.4042,0.0428887
5.03102,25.4161,0.0421894
5.02585,25.3641,0.041812
5.02311,25.3353,0.0412236
5.02705,25.3742,0.0407547
5.02799,25.3822,0.040124
5.01869,25.2927,0.040582
5.01415,25.2468,0.04022
5.01399,25.2437,0.0396155
5.01188,25.2213,0.0390854
5.00902,25.1917,0.0386208
5.01034,25.2036,0.0380878
5.00623,25.1622,0.0377722
5.011,25.2102,0.0375486
5.00781,25.1777,0.0371675
5.00753,25.1735,0.0366629
5.01243,25.223,0.0365005
5.01099,25.2074,0.0360459
5.00961,25.1925,0.0356015
5.01476,25.245,0.0355183
5.01581,25.2543,0.0350813
5.02118,25.3093,0.0350545
5.0202,25.2983,0.034633
5.01744,25.2701,0.0343188
5.02207,25.3172,0.0342175
5.01524,25.2514,0.0344908
5.01482,25.246,0.0340853
5.01386,25.2353,0.0337003
5.01604,25.2565,0.033382
5.01385,25.2339,0.0330729
5.01057,25.2008,0.0328637
5.01338,25.2287,0.0326181
5.01261,25.2199,0.0322669
5.01383,25.2313,0.0319378
5.01326,25.2246,0.0315977
5.0169,25.2614,0.0314712
5.01319,25.2245,0.0313585
5.01498,25.2418,0.0310817
5.01442,25.2353,0.0307647
5.00841,25.1776,0.0310369
5.00979,25.1906,0.0307527
5.01837,25.2831,0.0316319
