temp,finalChi,err
0.5,78.8254,0.474994
0.6,43.7787,0.359667
0.7,24.7373,0.189516
0.8,15.1453,0.101405
0.9,10.2669,0.0579397
1,7.4162,0.0331977
1.1,5.59063,0.0208283
1.2,4.41771,0.0165916
1.3,3.56969,0.0108885
1.4,2.96489,0.00979302
1.5,2.53586,0.00744012
1.6,2.17579,0.00558341
1.7,1.89906,0.00490408
1.8,1.69264,0.00414296
1.9,1.50441,0.00365262
2,1.35925,0.00312976
